time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448450000	20.1684	14.0004	4.79057	1.76833	0.546749	radar	0.980955	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1127	14.2569	4.82544	1.798	0.548581	lidar	0.366923	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0409	14.4849	4.81969	1.83061	0.55383	radar	1.43293	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9325	14.7405	4.86754	1.87359	0.56812	lidar	1.39215	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8651	14.9579	4.85055	1.89364	0.553203	radar	3.30966	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8324	15.1771	4.81885	1.90489	0.537707	lidar	1.9991	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7028	15.3873	4.78666	1.97328	0.609021	radar	8.41743	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6722	15.5774	4.71485	1.98212	0.589027	lidar	3.34508	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5779	15.782	4.69943	2.01027	0.586899	radar	1.3081	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4739	15.9965	4.70504	2.03968	0.586873	lidar	0.00992268	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3716	16.2039	4.70496	2.05909	0.567517	radar	1.71324	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2616	16.3823	4.66347	2.089	0.569601	lidar	0.699049	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1438	16.5786	4.65615	2.11915	0.573072	radar	0.280514	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0127	16.7894	4.68032	2.14843	0.573334	lidar	0.146165	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8569	16.9824	4.69094	2.20283	0.620394	radar	6.82567	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6831	17.2184	4.78192	2.23739	0.62246	lidar	1.87078	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5783	17.4206	4.76818	2.23036	0.558389	radar	5.86134	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.364	17.6129	4.8293	2.27748	0.575808	lidar	3.95304	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2275	17.8029	4.8209	2.28488	0.538352	radar	2.5414	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0939	17.9884	4.80481	2.303	0.530225	lidar	0.89204	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9191	18.1444	4.78982	2.3431	0.551862	radar	1.84857	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7866	18.2867	4.72176	2.36545	0.547857	lidar	1.06762	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6533	18.4672	4.70595	2.37405	0.523595	radar	6.75859	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4574	18.6483	4.75429	2.40268	0.525253	lidar	0.502865	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2776	18.7902	4.73856	2.43558	0.535362	radar	1.68768	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
